example,sid,tag,old_score,is_leaf,alt_bindings,alt_refactorings,alt_dataflows,pOutputNumber,pAlternative,pWave,pAllowDataFlow,pCritical,pPercentOfBindedInputs,pPossibleDeadlock,pNumberOfBindedFunctions,pRestless,label,pNotTransferableInputs,pRestrictedTime,pWaitTime,pRefactoringType
counter.lua,-2-2-3-1-0-0,DataflowDecisionView,1999,False,0,0,1,,,,,,,,,,0.8574088325622885,0.0,False,1.0,
counter.lua,-2-2-3-1-0-0-0,DataflowDecisionView,1993,False,0,0,0,,,,,,,,,,0.8574088325622885,1.0,False,2.0,
counter.lua,-2-2-3-1-0-0-0-0,DataflowDecisionView,1995,True,0,0,0,,,,,,,,,,0.8574088325622885,0.0,False,5.0,
counter.lua,-2-2-3-1-0-1,DataflowDecisionView,1999,False,0,0,1,,,,,,,,,,0.8574088325622885,0.0,False,1.0,
counter.lua,-2-2-3-1-0-1-0,DataflowDecisionView,1993,False,0,0,0,,,,,,,,,,0.8574088325622885,1.0,False,2.0,
counter.lua,-2-2-3-1-0-1-0-0,DataflowDecisionView,1995,True,0,0,0,,,,,,,,,,0.8574088325622885,0.0,False,5.0,
counter.lua,-2-2-3-1-1,DataflowDecisionView,1999,False,1,0,1,,,,,,,,,,0.28124766034709414,0.0,False,1.0,
counter.lua,-2-2-3-1-1-0,BindDecisionView,3560,False,0,0,1,0.0,1.0,0.0,1.0,False,1.0,False,0.0,0.0,0.09665792212230001,,,,
counter.lua,-2-2-3-1-1-0-0,DataflowDecisionView,1997,False,0,0,1,,,,,,,,,,-2.1184189365752295,0.0,False,3.0,
counter.lua,-2-2-3-1-1-0-0-0,DataflowDecisionView,1991,False,0,0,0,,,,,,,,,,-2.1184189365752295,1.0,False,4.0,
counter.lua,-2-2-3-1-1-0-0-0-0,DataflowDecisionView,1993,True,0,0,0,,,,,,,,,,-2.1184189365752295,0.0,False,7.0,
counter.lua,-2-2-3-1-1-0-1,DataflowDecisionView,1993,False,0,0,1,,,,,,,,,,0.6504271367966824,1.0,False,2.0,
counter.lua,-2-2-3-1-1-0-1-0,DataflowDecisionView,1997,False,0,0,0,,,,,,,,,,0.6504271367966824,0.0,False,3.0,
counter.lua,-2-2-3-1-1-0-1-0-0,DataflowDecisionView,1995,True,0,0,0,,,,,,,,,,0.6504271367966824,0.0,False,5.0,
counter.lua,-2-2-3-1-1-1,DataflowDecisionView,1993,False,1,0,0,,,,,,,,,,0.6504271367966824,1.0,False,2.0,
counter.lua,-2-2-3-1-1-1-0,BindDecisionView,3560,False,0,0,0,0.0,1.0,0.0,1.0,False,1.0,False,0.0,0.0,0.6504271367966824,,,,
counter.lua,-2-2-3-1-1-1-0-0,DataflowDecisionView,1997,False,0,0,0,,,,,,,,,,0.6504271367966824,0.0,False,3.0,
counter.lua,-2-2-3-1-1-1-0-0-0,DataflowDecisionView,1995,True,0,0,0,,,,,,,,,,0.6504271367966824,0.0,False,5.0,
counter.lua,-2-2-3-1-2,DataflowDecisionView,1999,False,1,0,1,,,,,,,,,,0.8160124934091673,0.0,False,1.0,
counter.lua,-2-2-3-1-2-0,BindDecisionView,3552,False,0,0,1,0.0,1.0,0.0,1.0,False,1.0,False,0.0,2.0,0.8574088325622885,,,,
counter.lua,-2-2-3-1-2-0-0,DataflowDecisionView,1993,False,0,0,0,,,,,,,,,,0.8574088325622885,1.0,False,2.0,
counter.lua,-2-2-3-1-2-0-0-0,DataflowDecisionView,1995,True,0,0,0,,,,,,,,,,0.8574088325622885,0.0,False,5.0,
counter.lua,-2-2-3-1-2-1,DataflowDecisionView,1993,False,1,0,0,,,,,,,,,,0.6504271367966824,1.0,False,2.0,
counter.lua,-2-2-3-1-2-1-0,BindDecisionView,3560,False,0,0,0,0.0,1.0,0.0,1.0,False,1.0,False,0.0,0.0,0.6504271367966824,,,,
counter.lua,-2-2-3-1-2-1-0-0,DataflowDecisionView,1997,False,0,0,0,,,,,,,,,,0.6504271367966824,0.0,False,3.0,
counter.lua,-2-2-3-1-2-1-0-0-0,DataflowDecisionView,1995,True,0,0,0,,,,,,,,,,0.6504271367966824,0.0,False,5.0,
counter.lua,-2-2-3-2,BindDecisionView,3556,False,2,0,1,0.0,1.0,0.0,1.0,False,1.0,False,0.0,1.0,0.7651139634498914,,,,
counter.lua,-2-2-3-2-0,BindDecisionView,3032,False,1,0,1,1.0,2.0,0.0,0.0,False,1.0,False,2.0,0.0,0.5805242252250973,,,,
counter.lua,-2-2-3-2-0-0,DataflowDecisionView,1999,False,0,0,1,,,,,,,,,,0.8574088325622885,0.0,False,1.0,
counter.lua,-2-2-3-2-0-0-0,DataflowDecisionView,1993,False,0,0,0,,,,,,,,,,0.8574088325622885,1.0,False,2.0,
counter.lua,-2-2-3-2-0-0-0-0,DataflowDecisionView,1995,True,0,0,0,,,,,,,,,,0.8574088325622885,0.0,False,5.0,
counter.lua,-2-2-3-2-0-1,DataflowDecisionView,1999,False,0,0,1,,,,,,,,,,-0.5270142041236674,0.0,False,1.0,
counter.lua,-2-2-3-2-0-1-0,DataflowDecisionView,1992,False,0,0,0,,,,,,,,,,-0.5270142041236674,1.0,False,3.0,
counter.lua,-2-2-3-2-0-1-0-0,DataflowDecisionView,1994,True,0,0,0,,,,,,,,,,-0.5270142041236674,0.0,False,6.0,
counter.lua,-2-2-3-2-1,BindDecisionView,3052,False,1,0,1,1.0,2.0,0.0,0.0,False,1.0,False,0.0,0.0,0.8574088325622885,,,,
counter.lua,-2-2-3-2-1-0,DataflowDecisionView,1999,False,0,0,1,,,,,,,,,,0.8574088325622885,0.0,False,1.0,
counter.lua,-2-2-3-2-1-0-0,DataflowDecisionView,1993,False,0,0,0,,,,,,,,,,0.8574088325622885,1.0,False,2.0,
counter.lua,-2-2-3-2-1-0-0-0,DataflowDecisionView,1995,True,0,0,0,,,,,,,,,,0.8574088325622885,0.0,False,5.0,
counter.lua,-2-2-3-2-1-1,DataflowDecisionView,1999,False,0,0,1,,,,,,,,,,0.8574088325622885,0.0,False,1.0,
counter.lua,-2-2-3-2-1-1-0,DataflowDecisionView,1993,False,0,0,0,,,,,,,,,,0.8574088325622885,1.0,False,2.0,
counter.lua,-2-2-3-2-1-1-0-0,DataflowDecisionView,1995,True,0,0,0,,,,,,,,,,0.8574088325622885,0.0,False,5.0,
counter.lua,-2-2-3-2-2,DataflowDecisionView,1994,False,2,0,0,,,,,,,,,,0.8574088325622885,1.0,False,1.0,
counter.lua,-2-2-3-2-2-0,BindDecisionView,3032,False,1,0,0,1.0,2.0,0.0,0.0,False,1.0,False,2.0,0.0,0.8574088325622885,,,,
counter.lua,-2-2-3-2-2-0-0,DataflowDecisionView,1993,False,0,0,0,,,,,,,,,,0.8574088325622885,1.0,False,2.0,
counter.lua,-2-2-3-2-2-0-0-0,DataflowDecisionView,1995,True,0,0,0,,,,,,,,,,0.8574088325622885,0.0,False,5.0,
counter.lua,-2-2-3-2-2-1,BindDecisionView,3052,False,1,0,0,1.0,2.0,0.0,0.0,False,1.0,False,0.0,0.0,0.8574088325622885,,,,
counter.lua,-2-2-3-2-2-1-0,DataflowDecisionView,1993,False,0,0,0,,,,,,,,,,0.8574088325622885,1.0,False,2.0,
counter.lua,-2-2-3-2-2-1-0-0,DataflowDecisionView,1995,True,0,0,0,,,,,,,,,,0.8574088325622885,0.0,False,5.0,
counter.lua,-2-2-3-3,DataflowDecisionView,1994,False,3,0,0,,,,,,,,,,0.09665792212230001,1.0,False,1.0,
counter.lua,-2-2-3-3-0,BindDecisionView,3032,False,2,0,0,1.0,2.0,0.0,0.0,False,1.0,False,2.0,0.0,0.28124766034709414,,,,
counter.lua,-2-2-3-3-0-0,BindDecisionView,3560,False,0,0,1,0.0,1.0,0.0,1.0,False,1.0,False,0.0,0.0,0.09665792212230001,,,,
counter.lua,-2-2-3-3-0-0-0,DataflowDecisionView,1997,False,0,0,1,,,,,,,,,,-2.1184189365752295,0.0,False,3.0,
counter.lua,-2-2-3-3-0-0-0-0,DataflowDecisionView,1991,False,0,0,0,,,,,,,,,,-2.1184189365752295,1.0,False,4.0,
counter.lua,-2-2-3-3-0-0-0-0-0,DataflowDecisionView,1993,True,0,0,0,,,,,,,,,,-2.1184189365752295,0.0,False,7.0,
counter.lua,-2-2-3-3-0-0-1,DataflowDecisionView,1993,False,0,0,1,,,,,,,,,,0.6504271367966824,1.0,False,2.0,
counter.lua,-2-2-3-3-0-0-1-0,DataflowDecisionView,1997,False,0,0,0,,,,,,,,,,0.6504271367966824,0.0,False,3.0,
counter.lua,-2-2-3-3-0-0-1-0-0,DataflowDecisionView,1995,True,0,0,0,,,,,,,,,,0.6504271367966824,0.0,False,5.0,
counter.lua,-2-2-3-3-0-1,DataflowDecisionView,1993,False,1,0,0,,,,,,,,,,0.6504271367966824,1.0,False,2.0,
counter.lua,-2-2-3-3-0-1-0,BindDecisionView,3560,False,0,0,0,0.0,1.0,0.0,1.0,False,1.0,False,0.0,0.0,0.6504271367966824,,,,
counter.lua,-2-2-3-3-0-1-0-0,DataflowDecisionView,1997,False,0,0,0,,,,,,,,,,0.6504271367966824,0.0,False,3.0,
counter.lua,-2-2-3-3-0-1-0-0-0,DataflowDecisionView,1995,True,0,0,0,,,,,,,,,,0.6504271367966824,0.0,False,5.0,
counter.lua,-2-2-3-3-1,BindDecisionView,3052,False,2,0,0,1.0,2.0,0.0,0.0,False,1.0,False,0.0,0.0,0.28124766034709414,,,,
counter.lua,-2-2-3-3-1-0,BindDecisionView,3560,False,0,0,1,0.0,1.0,0.0,1.0,False,1.0,False,0.0,0.0,0.09665792212230001,,,,
counter.lua,-2-2-3-3-1-0-0,DataflowDecisionView,1997,False,0,0,1,,,,,,,,,,-2.1184189365752295,0.0,False,3.0,
counter.lua,-2-2-3-3-1-0-0-0,DataflowDecisionView,1991,False,0,0,0,,,,,,,,,,-2.1184189365752295,1.0,False,4.0,
counter.lua,-2-2-3-3-1-0-0-0-0,DataflowDecisionView,1993,True,0,0,0,,,,,,,,,,-2.1184189365752295,0.0,False,7.0,
counter.lua,-2-2-3-3-1-0-1,DataflowDecisionView,1993,False,0,0,1,,,,,,,,,,0.6504271367966824,1.0,False,2.0,
counter.lua,-2-2-3-3-1-0-1-0,DataflowDecisionView,1997,False,0,0,0,,,,,,,,,,0.6504271367966824,0.0,False,3.0,
counter.lua,-2-2-3-3-1-0-1-0-0,DataflowDecisionView,1995,True,0,0,0,,,,,,,,,,0.6504271367966824,0.0,False,5.0,
counter.lua,-2-2-3-3-1-1,DataflowDecisionView,1993,False,1,0,0,,,,,,,,,,0.6504271367966824,1.0,False,2.0,
counter.lua,-2-2-3-3-1-1-0,BindDecisionView,3560,False,0,0,0,0.0,1.0,0.0,1.0,False,1.0,False,0.0,0.0,0.6504271367966824,,,,
counter.lua,-2-2-3-3-1-1-0-0,DataflowDecisionView,1997,False,0,0,0,,,,,,,,,,0.6504271367966824,0.0,False,3.0,
counter.lua,-2-2-3-3-1-1-0-0-0,DataflowDecisionView,1995,True,0,0,0,,,,,,,,,,0.6504271367966824,0.0,False,5.0,
counter.lua,-2-2-3-3-2,BindDecisionView,3560,False,2,0,0,0.0,1.0,0.0,1.0,False,1.0,False,0.0,0.0,-0.08793181610249412,,,,
counter.lua,-2-2-3-3-2-0,BindDecisionView,3032,False,1,0,1,1.0,2.0,0.0,0.0,False,1.0,False,2.0,0.0,0.09665792212230001,,,,
counter.lua,-2-2-3-3-2-0-0,DataflowDecisionView,1997,False,0,0,1,,,,,,,,,,-2.1184189365752295,0.0,False,3.0,
counter.lua,-2-2-3-3-2-0-0-0,DataflowDecisionView,1991,False,0,0,0,,,,,,,,,,-2.1184189365752295,1.0,False,4.0,
counter.lua,-2-2-3-3-2-0-0-0-0,DataflowDecisionView,1993,True,0,0,0,,,,,,,,,,-2.1184189365752295,0.0,False,7.0,
counter.lua,-2-2-3-3-2-0-1,DataflowDecisionView,1993,False,0,0,1,,,,,,,,,,0.6504271367966824,1.0,False,2.0,
counter.lua,-2-2-3-3-2-0-1-0,DataflowDecisionView,1997,False,0,0,0,,,,,,,,,,0.6504271367966824,0.0,False,3.0,
counter.lua,-2-2-3-3-2-0-1-0-0,DataflowDecisionView,1995,True,0,0,0,,,,,,,,,,0.6504271367966824,0.0,False,5.0,
counter.lua,-2-2-3-3-2-1,BindDecisionView,3052,False,1,0,1,1.0,2.0,0.0,0.0,False,1.0,False,0.0,0.0,0.09665792212230001,,,,
counter.lua,-2-2-3-3-2-1-0,DataflowDecisionView,1997,False,0,0,1,,,,,,,,,,-2.1184189365752295,0.0,False,3.0,
counter.lua,-2-2-3-3-2-1-0-0,DataflowDecisionView,1991,False,0,0,0,,,,,,,,,,-2.1184189365752295,1.0,False,4.0,
counter.lua,-2-2-3-3-2-1-0-0-0,DataflowDecisionView,1993,True,0,0,0,,,,,,,,,,-2.1184189365752295,0.0,False,7.0,
counter.lua,-2-2-3-3-2-1-1,DataflowDecisionView,1993,False,0,0,1,,,,,,,,,,0.6504271367966824,1.0,False,2.0,
counter.lua,-2-2-3-3-2-1-1-0,DataflowDecisionView,1997,False,0,0,0,,,,,,,,,,0.6504271367966824,0.0,False,3.0,
counter.lua,-2-2-3-3-2-1-1-0-0,DataflowDecisionView,1995,True,0,0,0,,,,,,,,,,0.6504271367966824,0.0,False,5.0,
counter.lua,-2-2-3-3-2-2,DataflowDecisionView,1997,False,2,0,0,,,,,,,,,,-2.1184189365752295,0.0,False,3.0,
counter.lua,-2-2-3-3-2-2-0,BindDecisionView,3032,False,1,0,0,1.0,2.0,0.0,0.0,False,1.0,False,2.0,0.0,-2.1184189365752295,,,,
counter.lua,-2-2-3-3-2-2-0-0,DataflowDecisionView,1991,False,0,0,0,,,,,,,,,,-2.1184189365752295,1.0,False,4.0,
counter.lua,-2-2-3-3-2-2-0-0-0,DataflowDecisionView,1993,True,0,0,0,,,,,,,,,,-2.1184189365752295,0.0,False,7.0,
counter.lua,-2-2-3-3-2-2-1,BindDecisionView,3052,False,1,0,0,1.0,2.0,0.0,0.0,False,1.0,False,0.0,0.0,-2.1184189365752295,,,,
counter.lua,-2-2-3-3-2-2-1-0,DataflowDecisionView,1991,False,0,0,0,,,,,,,,,,-2.1184189365752295,1.0,False,4.0,
counter.lua,-2-2-3-3-2-2-1-0-0,DataflowDecisionView,1993,True,0,0,0,,,,,,,,,,-2.1184189365752295,0.0,False,7.0,
counter.lua,-2-3,BindDecisionView,3610,False,3,1,0,0.0,1.0,,1.0,False,1.0,False,0.0,0.0,0.42888963380648587,,,,
counter.lua,-2-3-0,BindDecisionView,3042,False,2,1,0,1.0,2.0,0,0.0,False,1.0,False,1.0,0.0,0.35909445475389146,,,,
counter.lua,-2-3-0-0,BindDecisionView,3622,False,0,1,0,1.0,1.0,,2.0,False,1.0,False,0.0,0.0,0.48822935611270024,,,,
counter.lua,-2-3-0-0-0,DataflowDecisionView,1994,False,0,1,0,,,,,,,,,,-0.5270142041236674,1.0,False,1.0,
counter.lua,-2-3-0-0-0-0,BreakLoopView,5000,False,0,0,0,,,,,,,,,,-0.5270142041236674,,,,BreakLoopView
counter.lua,-2-3-0-0-0-0-0,DataflowDecisionView,1992,False,0,0,0,,,,,,,,,,-0.5270142041236674,1.0,False,3.0,
counter.lua,-2-3-0-0-0-0-0-0,DataflowDecisionView,1994,True,0,0,0,,,,,,,,,,-0.5270142041236674,0.0,False,6.0,
counter.lua,-2-3-0-0-1,BreakLoopView,5000,False,0,0,1,,,,,,,,,,0.5805242252250973,,,,BreakLoopView
counter.lua,-2-3-0-0-1-0,DataflowDecisionView,1999,False,0,0,1,,,,,,,,,,0.8574088325622885,0.0,False,1.0,
counter.lua,-2-3-0-0-1-0-0,DataflowDecisionView,1993,False,0,0,0,,,,,,,,,,0.8574088325622885,1.0,False,2.0,
counter.lua,-2-3-0-0-1-0-0-0,DataflowDecisionView,1995,True,0,0,0,,,,,,,,,,0.8574088325622885,0.0,False,5.0,
counter.lua,-2-3-0-0-1-1,DataflowDecisionView,1999,False,0,0,1,,,,,,,,,,-0.5270142041236674,0.0,False,1.0,
counter.lua,-2-3-0-0-1-1-0,DataflowDecisionView,1992,False,0,0,0,,,,,,,,,,-0.5270142041236674,1.0,False,3.0,
counter.lua,-2-3-0-0-1-1-0-0,DataflowDecisionView,1994,True,0,0,0,,,,,,,,,,-0.5270142041236674,0.0,False,6.0,
counter.lua,-2-3-0-1,BreakLoopView,5000,False,1,0,0,,,,,,,,,,0.26224327873478487,,,,BreakLoopView
counter.lua,-2-3-0-1-0,BindDecisionView,3568,False,0,0,1,1.0,1.0,0.0,2.0,False,1.0,False,0.0,1.0,0.5805242252250973,,,,
counter.lua,-2-3-0-1-0-0,DataflowDecisionView,1999,False,0,0,1,,,,,,,,,,0.8574088325622885,0.0,False,1.0,
counter.lua,-2-3-0-1-0-0-0,DataflowDecisionView,1993,False,0,0,0,,,,,,,,,,0.8574088325622885,1.0,False,2.0,
counter.lua,-2-3-0-1-0-0-0-0,DataflowDecisionView,1995,True,0,0,0,,,,,,,,,,0.8574088325622885,0.0,False,5.0,
counter.lua,-2-3-0-1-0-1,DataflowDecisionView,1999,False,0,0,1,,,,,,,,,,-0.5270142041236674,0.0,False,1.0,
counter.lua,-2-3-0-1-0-1-0,DataflowDecisionView,1992,False,0,0,0,,,,,,,,,,-0.5270142041236674,1.0,False,3.0,
counter.lua,-2-3-0-1-0-1-0-0,DataflowDecisionView,1994,True,0,0,0,,,,,,,,,,-0.5270142041236674,0.0,False,6.0,
counter.lua,-2-3-0-1-1,DataflowDecisionView,1999,False,1,0,0,,,,,,,,,,-1.0108805072264646,0.0,False,1.0,
counter.lua,-2-3-0-1-1-0,BindDecisionView,3572,False,0,0,0,1.0,1.0,0.0,2.0,False,1.0,False,0.0,0.0,-1.0108805072264646,,,,
counter.lua,-2-3-0-1-1-0-0,DataflowDecisionView,1997,False,0,0,1,,,,,,,,,,-2.1184189365752295,0.0,False,3.0,
counter.lua,-2-3-0-1-1-0-0-0,DataflowDecisionView,1991,False,0,0,0,,,,,,,,,,-2.1184189365752295,1.0,False,4.0,
counter.lua,-2-3-0-1-1-0-0-0-0,DataflowDecisionView,1993,True,0,0,0,,,,,,,,,,-2.1184189365752295,0.0,False,7.0,
counter.lua,-2-3-0-1-1-0-1,DataflowDecisionView,1998,False,0,0,1,,,,,,,,,,-0.7339958998892735,0.0,False,2.0,
counter.lua,-2-3-0-1-1-0-1-0,DataflowDecisionView,1992,False,0,0,0,,,,,,,,,,-0.7339958998892735,1.0,False,3.0,
counter.lua,-2-3-0-1-1-0-1-0-0,DataflowDecisionView,1994,True,0,0,0,,,,,,,,,,-0.7339958998892735,0.0,False,6.0,
counter.lua,-2-3-1,BindDecisionView,3052,False,2,1,0,1.0,2.0,0,0.0,False,1.0,False,0.0,0.0,0.5964241181857696,,,,
counter.lua,-2-3-1-0,BindDecisionView,3622,False,0,1,0,1.0,1.0,,2.0,False,1.0,False,0.0,0.0,0.8574088325622885,,,,
counter.lua,-2-3-1-0-0,DataflowDecisionView,1994,False,0,1,0,,,,,,,,,,0.8574088325622885,1.0,False,1.0,
counter.lua,-2-3-1-0-0-0,BreakLoopView,5000,False,0,0,0,,,,,,,,,,0.8574088325622885,,,,BreakLoopView
counter.lua,-2-3-1-0-0-0-0,DataflowDecisionView,1993,False,0,0,0,,,,,,,,,,0.8574088325622885,1.0,False,2.0,
counter.lua,-2-3-1-0-0-0-0-0,DataflowDecisionView,1995,True,0,0,0,,,,,,,,,,0.8574088325622885,0.0,False,5.0,
counter.lua,-2-3-1-0-1,BreakLoopView,5000,False,0,0,1,,,,,,,,,,0.8574088325622885,,,,BreakLoopView
counter.lua,-2-3-1-0-1-0,DataflowDecisionView,1999,False,0,0,1,,,,,,,,,,0.8574088325622885,0.0,False,1.0,
counter.lua,-2-3-1-0-1-0-0,DataflowDecisionView,1993,False,0,0,0,,,,,,,,,,0.8574088325622885,1.0,False,2.0,
counter.lua,-2-3-1-0-1-0-0-0,DataflowDecisionView,1995,True,0,0,0,,,,,,,,,,0.8574088325622885,0.0,False,5.0,
counter.lua,-2-3-1-0-1-1,DataflowDecisionView,1999,False,0,0,1,,,,,,,,,,0.8574088325622885,0.0,False,1.0,
counter.lua,-2-3-1-0-1-1-0,DataflowDecisionView,1993,False,0,0,0,,,,,,,,,,0.8574088325622885,1.0,False,2.0,
counter.lua,-2-3-1-0-1-1-0-0,DataflowDecisionView,1995,True,0,0,0,,,,,,,,,,0.8574088325622885,0.0,False,5.0,
counter.lua,-2-3-1-1,BreakLoopView,5000,False,1,0,0,,,,,,,,,,0.4006855824033805,,,,BreakLoopView
counter.lua,-2-3-1-1-0,BindDecisionView,3568,False,0,0,1,1.0,1.0,0.0,2.0,False,1.0,False,0.0,1.0,0.8574088325622885,,,,
counter.lua,-2-3-1-1-0-0,DataflowDecisionView,1999,False,0,0,1,,,,,,,,,,0.8574088325622885,0.0,False,1.0,
counter.lua,-2-3-1-1-0-0-0,DataflowDecisionView,1993,False,0,0,0,,,,,,,,,,0.8574088325622885,1.0,False,2.0,
counter.lua,-2-3-1-1-0-0-0-0,DataflowDecisionView,1995,True,0,0,0,,,,,,,,,,0.8574088325622885,0.0,False,5.0,
counter.lua,-2-3-1-1-0-1,DataflowDecisionView,1999,False,0,0,1,,,,,,,,,,0.8574088325622885,0.0,False,1.0,
counter.lua,-2-3-1-1-0-1-0,DataflowDecisionView,1993,False,0,0,0,,,,,,,,,,0.8574088325622885,1.0,False,2.0,
counter.lua,-2-3-1-1-0-1-0-0,DataflowDecisionView,1995,True,0,0,0,,,,,,,,,,0.8574088325622885,0.0,False,5.0,
counter.lua,-2-3-1-1-1,DataflowDecisionView,1999,False,1,0,0,,,,,,,,,,-1.0108805072264646,0.0,False,1.0,
counter.lua,-2-3-1-1-1-0,BindDecisionView,3572,False,0,0,0,1.0,1.0,0.0,2.0,False,1.0,False,0.0,0.0,-1.0108805072264646,,,,
counter.lua,-2-3-1-1-1-0-0,DataflowDecisionView,1997,False,0,0,1,,,,,,,,,,-2.1184189365752295,0.0,False,3.0,
counter.lua,-2-3-1-1-1-0-0-0,DataflowDecisionView,1991,False,0,0,0,,,,,,,,,,-2.1184189365752295,1.0,False,4.0,
counter.lua,-2-3-1-1-1-0-0-0-0,DataflowDecisionView,1993,True,0,0,0,,,,,,,,,,-2.1184189365752295,0.0,False,7.0,
counter.lua,-2-3-1-1-1-0-1,DataflowDecisionView,1998,False,0,0,1,,,,,,,,,,-0.7339958998892735,0.0,False,2.0,
counter.lua,-2-3-1-1-1-0-1-0,DataflowDecisionView,1992,False,0,0,0,,,,,,,,,,-0.7339958998892735,1.0,False,3.0,
counter.lua,-2-3-1-1-1-0-1-0-0,DataflowDecisionView,1994,True,0,0,0,,,,,,,,,,-0.7339958998892735,0.0,False,6.0,
counter.lua,-2-3-2,BindDecisionView,3597,False,2,1,0,1.0,1.0,,2.0,False,0.5,False,0.0,0.0,0.718966528893693,,,,
counter.lua,-2-3-2-0,BindDecisionView,3042,False,1,1,0,1.0,2.0,0.0,0.0,False,1.0,False,1.0,0.0,0.48822935611270024,,,,
counter.lua,-2-3-2-0-0,DataflowDecisionView,1994,False,0,1,0,,,,,,,,,,-0.5270142041236674,1.0,False,1.0,
counter.lua,-2-3-2-0-0-0,BreakLoopView,5000,False,0,0,0,,,,,,,,,,-0.5270142041236674,,,,BreakLoopView
counter.lua,-2-3-2-0-0-0-0,DataflowDecisionView,1992,False,0,0,0,,,,,,,,,,-0.5270142041236674,1.0,False,3.0,
counter.lua,-2-3-2-0-0-0-0-0,DataflowDecisionView,1994,True,0,0,0,,,,,,,,,,-0.5270142041236674,0.0,False,6.0,
counter.lua,-2-3-2-0-1,BreakLoopView,5000,False,0,0,1,,,,,,,,,,0.5805242252250973,,,,BreakLoopView
counter.lua,-2-3-2-0-1-0,DataflowDecisionView,1999,False,0,0,1,,,,,,,,,,0.8574088325622885,0.0,False,1.0,
counter.lua,-2-3-2-0-1-0-0,DataflowDecisionView,1993,False,0,0,0,,,,,,,,,,0.8574088325622885,1.0,False,2.0,
counter.lua,-2-3-2-0-1-0-0-0,DataflowDecisionView,1995,True,0,0,0,,,,,,,,,,0.8574088325622885,0.0,False,5.0,
counter.lua,-2-3-2-0-1-1,DataflowDecisionView,1999,False,0,0,1,,,,,,,,,,-0.5270142041236674,0.0,False,1.0,
counter.lua,-2-3-2-0-1-1-0,DataflowDecisionView,1992,False,0,0,0,,,,,,,,,,-0.5270142041236674,1.0,False,3.0,
counter.lua,-2-3-2-0-1-1-0-0,DataflowDecisionView,1994,True,0,0,0,,,,,,,,,,-0.5270142041236674,0.0,False,6.0,
counter.lua,-2-3-2-1,BindDecisionView,3052,False,1,1,0,1.0,2.0,0.0,0.0,False,1.0,False,0.0,0.0,0.8574088325622885,,,,
counter.lua,-2-3-2-1-0,DataflowDecisionView,1994,False,0,1,0,,,,,,,,,,0.8574088325622885,1.0,False,1.0,
counter.lua,-2-3-2-1-0-0,BreakLoopView,5000,False,0,0,0,,,,,,,,,,0.8574088325622885,,,,BreakLoopView
counter.lua,-2-3-2-1-0-0-0,DataflowDecisionView,1993,False,0,0,0,,,,,,,,,,0.8574088325622885,1.0,False,2.0,
counter.lua,-2-3-2-1-0-0-0-0,DataflowDecisionView,1995,True,0,0,0,,,,,,,,,,0.8574088325622885,0.0,False,5.0,
counter.lua,-2-3-2-1-1,BreakLoopView,5000,False,0,0,1,,,,,,,,,,0.8574088325622885,,,,BreakLoopView
counter.lua,-2-3-2-1-1-0,DataflowDecisionView,1999,False,0,0,1,,,,,,,,,,0.8574088325622885,0.0,False,1.0,
counter.lua,-2-3-2-1-1-0-0,DataflowDecisionView,1993,False,0,0,0,,,,,,,,,,0.8574088325622885,1.0,False,2.0,
counter.lua,-2-3-2-1-1-0-0-0,DataflowDecisionView,1995,True,0,0,0,,,,,,,,,,0.8574088325622885,0.0,False,5.0,
counter.lua,-2-3-2-1-1-1,DataflowDecisionView,1999,False,0,0,1,,,,,,,,,,0.8574088325622885,0.0,False,1.0,
counter.lua,-2-3-2-1-1-1-0,DataflowDecisionView,1993,False,0,0,0,,,,,,,,,,0.8574088325622885,1.0,False,2.0,
counter.lua,-2-3-2-1-1-1-0-0,DataflowDecisionView,1995,True,0,0,0,,,,,,,,,,0.8574088325622885,0.0,False,5.0,
counter.lua,-2-3-2-2,BreakLoopView,5000,False,2,0,0,,,,,,,,,,0.7651139634498914,,,,BreakLoopView
counter.lua,-2-3-2-2-0,BindDecisionView,3032,False,1,0,1,1.0,2.0,0.0,0.0,False,1.0,False,2.0,0.0,0.5805242252250973,,,,
counter.lua,-2-3-2-2-0-0,DataflowDecisionView,1999,False,0,0,1,,,,,,,,,,0.8574088325622885,0.0,False,1.0,
counter.lua,-2-3-2-2-0-0-0,DataflowDecisionView,1993,False,0,0,0,,,,,,,,,,0.8574088325622885,1.0,False,2.0,
counter.lua,-2-3-2-2-0-0-0-0,DataflowDecisionView,1995,True,0,0,0,,,,,,,,,,0.8574088325622885,0.0,False,5.0,
counter.lua,-2-3-2-2-0-1,DataflowDecisionView,1999,False,0,0,1,,,,,,,,,,-0.5270142041236674,0.0,False,1.0,
counter.lua,-2-3-2-2-0-1-0,DataflowDecisionView,1992,False,0,0,0,,,,,,,,,,-0.5270142041236674,1.0,False,3.0,
counter.lua,-2-3-2-2-0-1-0-0,DataflowDecisionView,1994,True,0,0,0,,,,,,,,,,-0.5270142041236674,0.0,False,6.0,
counter.lua,-2-3-2-2-1,BindDecisionView,3052,False,1,0,1,1.0,2.0,0.0,0.0,False,1.0,False,0.0,0.0,0.8574088325622885,,,,
counter.lua,-2-3-2-2-1-0,DataflowDecisionView,1999,False,0,0,1,,,,,,,,,,0.8574088325622885,0.0,False,1.0,
